"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Aug 23 20:42:53 GMT 2021","Mon Aug 23 20:42:55 GMT 2021","2253","","LoginPageTest","","LoginPageTest","EmptyLoginTest","LOGIN-02: Bejelentkezés üres mezőkkel",""
"skipped","Mon Aug 23 20:43:39 GMT 2021","Mon Aug 23 20:43:39 GMT 2021","0","","RegisterPageTest","","RegisterPageTest","CheckingTermsAndConditionsTest","T&C-01: Általános felhasználási feltételek meglétének ellenőrzése",""
"passed","Mon Aug 23 20:43:04 GMT 2021","Mon Aug 23 20:43:06 GMT 2021","2753","","LoginPageTest","","LoginPageTest","LoginTest","LOGIN-01: Normál bejelentkezés",""
"passed","Mon Aug 23 20:44:28 GMT 2021","Mon Aug 23 20:44:50 GMT 2021","22126","","RegisterPageTest","","RegisterPageTest","AcceptCookiesTest","T&C-03: Cookie-k elfogadása",""
"passed","Mon Aug 23 20:45:32 GMT 2021","Mon Aug 23 20:45:37 GMT 2021","4839","","ProfilePageTest","","ProfilePageTest","AddIntroductionTest","DATA-01: Új adat bevitele a bemutatkozás mezőbe",""
"passed","Mon Aug 23 20:44:18 GMT 2021","Mon Aug 23 20:44:21 GMT 2021","3596","","RegisterPageTest","","RegisterPageTest","RegisterWithoutAcceptingTermsAndConditionsTest","REG-07: Regisztráció ÁSZF elfogadása nélkül",""
"passed","Mon Aug 23 20:43:39 GMT 2021","Mon Aug 23 20:44:08 GMT 2021","29263","","RegisterPageTest","","RegisterPageTest","RegisterHappyPathTest","REG-01: Normál regisztráció",""
"passed","Mon Aug 23 20:44:21 GMT 2021","Mon Aug 23 20:44:25 GMT 2021","3188","","RegisterPageTest","","RegisterPageTest","RegisterWithoutAcceptingTermsAndConditionsAndPrivacyPolicyTest","REG-05: Regisztráció ÁSZF és adatvédelmi feltételek elfogadása nélkül",""
"passed","Mon Aug 23 20:43:30 GMT 2021","Mon Aug 23 20:43:32 GMT 2021","2181","","TrainersPageTest","","TrainersPageTest","SaveTrainersToFileTest","SEARCH-02: Edzők neveinek mentése txt fájlba",""
"passed","Mon Aug 23 20:42:55 GMT 2021","Mon Aug 23 20:42:58 GMT 2021","2440","","LoginPageTest","","LoginPageTest","LoginWithoutPasswordTest","LOGIN-06: Bejelentkezés jelszó megadása nélkül",""
"passed","Mon Aug 23 20:42:58 GMT 2021","Mon Aug 23 20:43:00 GMT 2021","2322","","LoginPageTest","","LoginPageTest","LoginWithoutUsernameTest","LOGIN-05: Bejelentkezés felhasználónév megadása nélkül",""
"skipped","Mon Aug 23 20:44:15 GMT 2021","Mon Aug 23 20:44:15 GMT 2021","0","","RegisterPageTest","","RegisterPageTest","CheckingPrivacyPolicyTest","T&C-02: Adatvédelmi feltételek meglétének ellenőrzése",""
"passed","Mon Aug 23 20:45:22 GMT 2021","Mon Aug 23 20:45:27 GMT 2021","5872","","ProfilePageTest","","ProfilePageTest","AddCompanyDataTest","DATA-04: Adatok sorozatos feltöltése külső fájlból",""
"passed","Mon Aug 23 20:43:06 GMT 2021","Mon Aug 23 20:43:09 GMT 2021","2798","","LoginPageTest","","LoginPageTest","LoginWithIncorrectPasswordTest","LOGIN-07: Bejelentkezés helytelen jelszóval",""
"passed","Mon Aug 23 20:43:27 GMT 2021","Mon Aug 23 20:43:30 GMT 2021","2913","","CalendarPageTest","","CalendarPageTest","LogoutTest","LOGOUT-01: Kijelentkezés kattintással",""
"passed","Mon Aug 23 20:44:12 GMT 2021","Mon Aug 23 20:44:15 GMT 2021","3435","","RegisterPageTest","","RegisterPageTest","RegisterWithInvalidPasswordTest","REG-03: Regisztráció érvénytelen jelszóval",""
"passed","Mon Aug 23 20:44:50 GMT 2021","Mon Aug 23 20:45:17 GMT 2021","26707","","ReportsPageTest","","ReportsPageTest","CountReportsTest","LIST-01: Többoldalas lista bejárása",""
"passed","Mon Aug 23 20:44:15 GMT 2021","Mon Aug 23 20:44:18 GMT 2021","2494","","RegisterPageTest","","RegisterPageTest","RegisterWithInvalidEmailTest","REG-02: Regisztráció invalid email-címmel",""
"passed","Mon Aug 23 20:44:25 GMT 2021","Mon Aug 23 20:44:28 GMT 2021","3296","","RegisterPageTest","","RegisterPageTest","RegisterWithoutAcceptingPrivacyPolicyTest","REG-06: Regisztráció adatvédelmi feltételek elfogadása nélkül",""
"passed","Mon Aug 23 20:43:18 GMT 2021","Mon Aug 23 20:43:27 GMT 2021","8216","","CalendarPageTest","","CalendarPageTest","LogoutWithDuplicateLoginTest","LOGOUT-02: Kijelentkezés második felhasználó bejelentkezése esetén",""
"failed","Mon Aug 23 20:43:32 GMT 2021","Mon Aug 23 20:43:36 GMT 2021","4641","","TrainersPageTest","","TrainersPageTest","SearchForTrainersTest","SEARCH-01: Adatok listázása kereséssel",""
"passed","Mon Aug 23 20:42:47 GMT 2021","Mon Aug 23 20:42:53 GMT 2021","6160","","LoginPageTest","","LoginPageTest","LoginWithUnconfirmedEmailTest","LOGIN-04: Bejelentkezés regisztrált, de nem megerősített email-címmel",""
"passed","Mon Aug 23 20:44:08 GMT 2021","Mon Aug 23 20:44:12 GMT 2021","3354","","RegisterPageTest","","RegisterPageTest","RegisterWithMismatchedPasswordTest","REG-04: Regisztráció nem egyező jelszavakkal",""
"passed","Mon Aug 23 20:45:17 GMT 2021","Mon Aug 23 20:45:22 GMT 2021","4796","","ProfilePageTest","","ProfilePageTest","ModifyIntroductionTest","DATA-02: Meglévő adat módosítása",""
"passed","Mon Aug 23 20:43:09 GMT 2021","Mon Aug 23 20:43:18 GMT 2021","9179","","CalendarPageTest","","CalendarPageTest","LogoutWhenLoggingOutOnDifferentTabTest","LOGOUT-03: Kijelentkezés másik fülön való kijelentkezés után",""
"passed","Mon Aug 23 20:43:36 GMT 2021","Mon Aug 23 20:43:39 GMT 2021","2834","","RegisterPageTest","","RegisterPageTest","RegisterAlreadyExistingUserTest","REG-08: Regisztráció már létező felhasználóval",""
"passed","Mon Aug 23 20:45:27 GMT 2021","Mon Aug 23 20:45:32 GMT 2021","4479","","ProfilePageTest","","ProfilePageTest","DeleteIntroductionTest","DATA-03: Meglévő adat törlése",""
"passed","Mon Aug 23 20:43:00 GMT 2021","Mon Aug 23 20:43:04 GMT 2021","3454","","LoginPageTest","","LoginPageTest","LoginWithUnregisteredEmailTest","LOGIN-03: Bejelentkezés nem regisztrált email-címmel",""
